URL,Filesize,Number of Outgoing links,Content type
http://www.latimes.com/entertainment/arts/,297671,106,text/html;charset=UTF-8
http://www.latimes.com/local/moments/,248676,51,text/html;charset=UTF-8
http://www.latimes.com/science/sciencenow/la-sci-sn-paris-climate-goals-20170203-story.html,249099,82,text/html;charset=UTF-8
http://www.latimes.com/local/moments/la-me-scm-home-away-from-home-20160107-story.html,188153,64,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-me-ln-la-rain-cleanup-20170218-story.html,367429,88,text/html;charset=UTF-8
http://www.latimes.com/food/jonathan-gold/la-fo-gold-71-above-20170119-story.html,255913,59,text/html;charset=UTF-8
http://www.latimes.com/politics/la-na-pol-bernie-sanders-20161117-story.html,227103,71,text/html;charset=UTF-8
http://www.latimes.com/local/abcarian/la-me-abcarian-trump-psychiatrist-20170219-story.html,246490,85,text/html;charset=UTF-8
http://www.latimes.com/style/laaffairs/la-he-users-guide-dating-apps-20170209-story.html,233853,60,text/html;charset=UTF-8
http://www.latimes.com/politics/la-na-pol-trump-battles-press-20170218-story.html,250542,82,text/html;charset=UTF-8
http://www.latimes.com/travel/deals/la-tr-las-vegas-valentines-day-massacre-museum-20170213-story.html,241765,73,text/html;charset=UTF-8
http://www.latimes.com/business/la-fi-spacex-launch-20170216-story.html,235162,80,text/html;charset=UTF-8
http://www.latimes.com/style/laaffairs/,249349,87,text/html;charset=UTF-8
http://www.latimes.com/hoyla-bei-adriangonzales2-story.html,167492,47,text/html;charset=UTF-8
http://www.latimes.com/travel/deals/la-tr-las-vegas-uncorkd-event-20170201-story.html,193317,71,text/html;charset=UTF-8
http://www.latimes.com/sports/more/la-sp-genesis-open-20170219-story.html,241729,70,text/html;charset=UTF-8
http://www.latimes.com/local/moments/la-me-scm-ff-a-curious-look-20160122-story.html,173811,56,text/html;charset=UTF-8
http://www.latimes.com/science/sciencenow/la-sci-sn-el-nino-california-20170214-story_amp.html,67745,29,text/html;charset=UTF-8
http://www.latimes.com/local/california/la-me-ln-letter-from-oroville-20170216-htmlstory.html,139452,51,text/html;charset=UTF-8
http://www.latimes.com/home/la-he-hottest-trends-from-ces-20170202-story.html,248730,69,text/html;charset=UTF-8
http://www.latimes.com/local/california/,393735,134,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-pac-12-basketball-freshmen-20161227-story.html,198014,81,text/html;charset=UTF-8
http://www.latimes.com/health/la-he-why-you-cant-lose-weight-20160624-snap-htmlstory.html,181716,43,text/html;charset=UTF-8
http://www.latimes.com/travel/la-tr-letters-20170219-story.html,211066,57,text/html;charset=UTF-8
http://www.latimes.com/entertainment/92383947-132.html,163473,45,text/html;charset=UTF-8
http://www.latimes.com/entertainment/music/la-et-ms-soulquarius-review-20170217-story.html,230179,56,text/html;charset=UTF-8
http://www.latimes.com/home/la-hm-fallen-trees-20170215-story.html,186636,72,text/html;charset=UTF-8
http://www.latimes.com/opinion/opinion-la/,294641,47,text/html;charset=UTF-8
http://www.latimes.com/food/jonathan-gold/la-dd-gold-china-taste-20170213-story.html,225071,60,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-me-ln-two-women-dead-boy-20170219-story.html,238202,74,text/html;charset=UTF-8
http://www.latimes.com/health/la-he-online-dating-safety-tips-20170208-story_amp.html,77622,23,text/html;charset=UTF-8
http://www.latimes.com/sports/la-sp-penn-state-football-20161227-story.html,183128,65,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/92608915-132.html,157592,42,text/html;charset=UTF-8
http://www.latimes.com/entertainment/movies/la-et-mn-moonlight-arrival-wga-awards-2017-story.html,232269,65,text/html;charset=UTF-8
